Series Name_x,Country Name_x,Time,Value_x,Series Name_y,Country Name_y,Value_y
GDP (current US$),Germany,1970,215838000000.0,"Inflation, consumer prices (annual %)",Germany,3.450249364
GDP (current US$),Germany,1971,249985000000.0,"Inflation, consumer prices (annual %)",Germany,5.240974483
GDP (current US$),Germany,1972,299802000000.0,"Inflation, consumer prices (annual %)",Germany,5.484933122
GDP (current US$),Germany,1973,398374000000.0,"Inflation, consumer prices (annual %)",Germany,7.032023993
GDP (current US$),Germany,1974,445303000000.0,"Inflation, consumer prices (annual %)",Germany,6.986431093
GDP (current US$),Germany,1975,490637000000.0,"Inflation, consumer prices (annual %)",Germany,5.910336263
GDP (current US$),Germany,1976,519754000000.0,"Inflation, consumer prices (annual %)",Germany,4.246631023
GDP (current US$),Germany,1977,600498000000.0,"Inflation, consumer prices (annual %)",Germany,3.734162406
GDP (current US$),Germany,1978,740470000000.0,"Inflation, consumer prices (annual %)",Germany,2.718696961
GDP (current US$),Germany,1979,881345000000.0,"Inflation, consumer prices (annual %)",Germany,4.043620065
GDP (current US$),Germany,1980,950291000000.0,"Inflation, consumer prices (annual %)",Germany,5.441057545
GDP (current US$),Germany,1981,800472000000.0,"Inflation, consumer prices (annual %)",Germany,6.344242777
GDP (current US$),Germany,1982,776576000000.0,"Inflation, consumer prices (annual %)",Germany,5.241045072
GDP (current US$),Germany,1983,770684000000.0,"Inflation, consumer prices (annual %)",Germany,3.293414743
GDP (current US$),Germany,1984,725111000000.0,"Inflation, consumer prices (annual %)",Germany,2.405793399
GDP (current US$),Germany,1985,732535000000.0,"Inflation, consumer prices (annual %)",Germany,2.066233012
GDP (current US$),Germany,1986,1046260000000.0,"Inflation, consumer prices (annual %)",Germany,-0.129413361
GDP (current US$),Germany,1987,1298180000000.0,"Inflation, consumer prices (annual %)",Germany,0.249906109
GDP (current US$),Germany,1988,1401230000000.0,"Inflation, consumer prices (annual %)",Germany,1.27411894
GDP (current US$),Germany,1989,1398970000000.0,"Inflation, consumer prices (annual %)",Germany,2.780569556
GDP (current US$),Germany,1990,1771670000000.0,"Inflation, consumer prices (annual %)",Germany,2.696468243
GDP (current US$),Germany,1991,1868950000000.0,"Inflation, consumer prices (annual %)",Germany,4.047032598
GDP (current US$),Germany,1992,2131570000000.0,"Inflation, consumer prices (annual %)",Germany,5.056977967
GDP (current US$),Germany,1993,2071320000000.0,"Inflation, consumer prices (annual %)",Germany,4.474576508
GDP (current US$),Germany,1994,2205070000000.0,"Inflation, consumer prices (annual %)",Germany,2.693056399
GDP (current US$),Germany,1995,2585790000000.0,"Inflation, consumer prices (annual %)",Germany,1.706160413
GDP (current US$),Germany,1996,2497240000000.0,"Inflation, consumer prices (annual %)",Germany,1.44972702
GDP (current US$),Germany,1997,2211990000000.0,"Inflation, consumer prices (annual %)",Germany,1.939371989
GDP (current US$),Germany,1998,2238990000000.0,"Inflation, consumer prices (annual %)",Germany,0.911183535
GDP (current US$),Germany,1999,2194950000000.0,"Inflation, consumer prices (annual %)",Germany,0.585433064
GDP (current US$),Germany,2000,1947980000000.0,"Inflation, consumer prices (annual %)",Germany,1.440268387
GDP (current US$),Germany,2001,1945790000000.0,"Inflation, consumer prices (annual %)",Germany,1.983857313
GDP (current US$),Germany,2002,2078480000000.0,"Inflation, consumer prices (annual %)",Germany,1.420806156
GDP (current US$),Germany,2003,2501640000000.0,"Inflation, consumer prices (annual %)",Germany,1.034222186
GDP (current US$),Germany,2004,2814350000000.0,"Inflation, consumer prices (annual %)",Germany,1.665736967
GDP (current US$),Germany,2005,2846860000000.0,"Inflation, consumer prices (annual %)",Germany,1.546911148
GDP (current US$),Germany,2006,2994700000000.0,"Inflation, consumer prices (annual %)",Germany,1.577426428
GDP (current US$),Germany,2007,3425580000000.0,"Inflation, consumer prices (annual %)",Germany,2.298344007
GDP (current US$),Germany,2008,3745260000000.0,"Inflation, consumer prices (annual %)",Germany,2.628379816
GDP (current US$),Germany,2009,3411260000000.0,"Inflation, consumer prices (annual %)",Germany,0.312739007
GDP (current US$),Germany,2010,3399670000000.0,"Inflation, consumer prices (annual %)",Germany,1.103810378
GDP (current US$),Germany,2011,3749310000000.0,"Inflation, consumer prices (annual %)",Germany,2.075172837
GDP (current US$),Germany,2012,3527140000000.0,"Inflation, consumer prices (annual %)",Germany,2.008488848
GDP (current US$),Germany,2013,3733800000000.0,"Inflation, consumer prices (annual %)",Germany,1.504723303
GDP (current US$),Germany,2014,3889090000000.0,"Inflation, consumer prices (annual %)",Germany,0.906794
GDP (current US$),Germany,2015,3357590000000.0,"Inflation, consumer prices (annual %)",Germany,0.514426137
GDP (current US$),Germany,2016,3469850000000.0,"Inflation, consumer prices (annual %)",Germany,0.491747008
GDP (current US$),Germany,2017,3690850000000.0,"Inflation, consumer prices (annual %)",Germany,1.509494851
GDP (current US$),Germany,2018,3974440000000.0,"Inflation, consumer prices (annual %)",Germany,1.732168798
GDP (current US$),Germany,2019,3889180000000.0,"Inflation, consumer prices (annual %)",Germany,1.445659769
GDP (current US$),Germany,2020,3887730000000.0,"Inflation, consumer prices (annual %)",Germany,0.144877926
GDP (current US$),Germany,2021,4278500000000.0,"Inflation, consumer prices (annual %)",Germany,3.066666667
GDP (current US$),Germany,2022,4082470000000.0,"Inflation, consumer prices (annual %)",Germany,6.872574386
